#====================================================================
#
#var gq = {};
#load manzil1,7.js + manzil2,3,4.js + manzil5,6.js
#word for word translation:
#var str = ''; for (var ct = 0; ct < 4; ct++) { gq[['MANZIL1','MANZIL234','MANZIL56','MANZIL7'][ct]].slice(1).forEach(function (it) { str += it.replace(/⚓/gm, '\t').replace(/★/gm, '\r\n').replace(/.*\t(.*)\t.*\r\n/gm, '$1|').slice(0, -1) + '\r\n'; }); } console.log(str);
#load suras from tanzil.net quran-data.js QuranData.Sura
#morphological data:
#var s = 1, a = 0, w, str = ''; for (var ct = 0; ct < 4; ct++) { gq[['MANZIL1','MANZIL234','MANZIL56','MANZIL7'][ct]].slice(1).forEach(function (it) { w = 1; if (a >= suras[s][1]) { s++; a = 1; } else { a++; } str += it.replace(/⚓/gm, '\t').replace(/★/gm, '\r\n').replace(/(.*\t).*\t(.*?)\|(.*\r\n)/gm, function (m, c1, c2, c3) { return '(' + s + ':' + a + ':' + w++ + ')\t' + c1 + c2 + '\t' + c3; }); }); } console.log(str);
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(1:1:1)	bisomi	N	LEM:{som|ROOT:smw|M|GEN
(1:1:2)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(1:1:3)	{lr~aHoma`ni	 ADJ	LEM:r~aHoma`n|ROOT:rHm|MS|GEN
(1:1:4)	{lr~aHiymi	 ADJ	LEM:r~aHiym|ROOT:rHm|MS|GEN
(1:2:1)	{loHamodu	N	LEM:Hamod|ROOT:Hmd|M|NOM
(1:2:2)	lil~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(1:2:3)	rab~i	 N	LEM:rab~|ROOT:rbb|M|GEN
(1:2:4)	{loEa`lamiyna	 N	LEM:Ea`lamiyn|ROOT:Elm|MP|GEN
(1:3:1)	{lr~aHoma`ni	ADJ	LEM:r~aHoma`n|ROOT:rHm|MS|GEN
(1:3:2)	{lr~aHiymi	 ADJ	LEM:r~aHiym|ROOT:rHm|MS|GEN
(1:4:1)	ma`liki	N	ACT|PCPL|LEM:ma`lik|ROOT:mlk|M|GEN
(1:4:2)	yawomi	 N	LEM:yawom|ROOT:ywm|M|GEN
(1:4:3)	{ld~iyni	 N	LEM:diyn|ROOT:dyn|M|GEN
(1:5:1)	<iy~aAka	PRON	LEM:<iy~aA|2MS
(1:5:2)	naEobudu	 V	IMPF|LEM:Eabada|ROOT:Ebd|1P
(1:5:3)	wa<iy~aAka	 PRON	LEM:<iy~aA|2MS
(1:5:4)	nasotaEiynu	 V	IMPF|(X)|LEM:{sotaEiynu|ROOT:Ewn|1P
(1:6:1)	{hodinaA	V	IMPV|LEM:hadaY|ROOT:hdy|2MS
(1:6:2)	{lS~ira`Ta	 N	LEM:Sira`T|ROOT:SrT|M|ACC
(1:6:3)	{lomusotaqiyma	 ADJ	ACT|PCPL|(X)|LEM:m~usotaqiym|ROOT:qwm|M|ACC
(1:7:1)	Sira`Ta	N	LEM:Sira`T|ROOT:SrT|M|ACC
(1:7:2)	{l~a*iyna	 REL	LEM:{l~a*iY|MP
(1:7:3)	>anoEamota	 V	PERF|(IV)|LEM:>anoEama|ROOT:nEm|2MS
(1:7:4)	Ealayohimo	 P	LEM:EalaY`
(1:7:5)	gayori	 N	LEM:gayor|ROOT:gyr|M|GEN
(1:7:6)	{lomagoDuwbi	 N	PASS|PCPL|LEM:magoDuwb|ROOT:gDb|M|GEN
(1:7:7)	Ealayohimo	 P	LEM:EalaY`
(1:7:8)	walaA	 NEG	LEM:laA
(1:7:9)	{lD~aA^l~iyna	 N	ACT|PCPL|LEM:DaA^l~|ROOT:Dll|MP|GEN
Al^m^	Alif Laam Meem	INL
(2:2:1)	*a`lika	DEM	LEM:*a`lik|MS
(2:2:2)	{lokita`bu	 N	LEM:kita`b|ROOT:ktb|M|NOM
(2:2:3)	laA	 NEG	LEM:laA|SP:<in~
(2:2:4)	rayoba	 N	LEM:rayob|ROOT:ryb|M|ACC
(2:2:5)	fiyhi	 P	LEM:fiY
(2:2:6)	hudFY	 N	LEM:hudFY|ROOT:hdy|M|INDEF|NOM
(2:2:7)	l~ilomut~aqiyna	 N	ACT|PCPL|(VIII)|LEM:mut~aqiyn|ROOT:wqy|MP|GEN
(2:3:1)	{l~a*iyna	REL	LEM:{l~a*iY|MP
(2:3:2)	yu&ominuwna	 V	IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:3:3)	bi{logayobi	 N	LEM:gayob|ROOT:gyb|M|GEN
(2:3:4)	wayuqiymuwna	 V	IMPF|(IV)|LEM:>aqaAma|ROOT:qwm|3MP
(2:3:5)	{lS~alaw`pa	 N	LEM:Salaw`p|ROOT:Slw|F|ACC
(2:3:6)	wamim~aA	 P	LEM:min
(2:3:7)	razaqona`humo	 V	PERF|LEM:razaqa|ROOT:rzq|1P
(2:3:8)	yunfiquwna	 V	IMPF|(IV)|LEM:>anfaqa|ROOT:nfq|3MP
(2:4:1)	wa{l~a*iyna	REL	LEM:{l~a*iY|MP
(2:4:2)	yu&ominuwna	 V	IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:4:3)	bimaA^	 REL	LEM:maA
(2:4:4)	>unzila	 V	PERF|PASS|(IV)|LEM:>anzala|ROOT:nzl|3MS
(2:4:5)	<ilayoka	 P	LEM:<ilaY`
(2:4:6)	wamaA^	 REL	LEM:maA
(2:4:7)	>unzila	 V	PERF|PASS|(IV)|LEM:>anzala|ROOT:nzl|3MS
(2:4:8)	min	 P	LEM:min
(2:4:9)	qabolika	 N	LEM:qabol|ROOT:qbl|GEN
(2:4:10)	wabi{lo'aAxirapi	 N	LEM:A^xir|ROOT:Axr|FS|GEN
(2:4:11)	humo	 PRON	3MP
(2:4:12)	yuwqinuwna	 V	IMPF|(IV)|LEM:yuwqinu|ROOT:yqn|3MP
(2:5:1)	>uw@la`^}ika	DEM	LEM:>uwla`^}ik|P
(2:5:2)	EalaY`	 P	LEM:EalaY`
(2:5:3)	hudFY	 N	LEM:hudFY|ROOT:hdy|M|INDEF|GEN
(2:5:4)	m~in	 P	LEM:min
(2:5:5)	r~ab~ihimo	 N	LEM:rab~|ROOT:rbb|M|GEN
(2:5:6)	wa>uw@la`^}ika	 DEM	LEM:>uwla`^}ik|P
(2:5:7)	humu	 PRON	3MP
(2:5:8)	{lomufoliHuwna	 N	ACT|PCPL|(IV)|LEM:mufoliHuwn|ROOT:flH|MP|NOM
(2:6:1)	<in~a	ACC	LEM:<in~|SP:<in~
(2:6:2)	{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:6:3)	kafaruwA@	 V	PERF|LEM:kafara|ROOT:kfr|3MP
(2:6:4)	sawaA^'N	 N	LEM:sawaA^'|ROOT:swy|M|INDEF|NOM
(2:6:5)	Ealayohimo	 P	LEM:EalaY`
(2:6:6)	'a>an*arotahumo	 V	PERF|(IV)|LEM:>an*ara|ROOT:n*r|2MS
(2:6:7)	>amo	 CONJ	LEM:>am
(2:6:8)	lamo	 NEG	LEM:lam
(2:6:9)	tun*irohumo	 V	IMPF|(IV)|LEM:>an*ara|ROOT:n*r|2MS|MOOD:JUS
(2:6:10)	laA	 NEG	LEM:laA
(2:6:11)	yu&ominuwna	 V	IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:7:1)	xatama	V	PERF|LEM:xatama|ROOT:xtm|3MS
(2:7:2)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:7:3)	EalaY`	 P	LEM:EalaY`
(2:7:4)	quluwbihimo	 N	LEM:qalob|ROOT:qlb|FP|GEN
(2:7:5)	waEalaY`	 P	LEM:EalaY`
(2:7:6)	samoEihimo	 N	LEM:samoE|ROOT:smE|M|GEN
(2:7:7)	waEalaY`^	 P	LEM:EalaY`
(2:7:8)	>aboSa`rihimo	 N	LEM:baSar|ROOT:bSr|MP|GEN
(2:7:9)	gi$a`wapN	 N	LEM:gi$a`wap|ROOT:g$w|F|INDEF|NOM
(2:7:10)	walahumo	 PRON	3MP
(2:7:11)	Ea*aAbN	 N	LEM:Ea*aAb|ROOT:E*b|M|INDEF|NOM
(2:7:12)	EaZiymN	 ADJ	LEM:EaZiym|ROOT:EZm|MS|INDEF|NOM
(2:8:1)	wamina	P	LEM:min
(2:8:2)	{ln~aAsi	 N	LEM:n~aAs|ROOT:nws|MP|GEN
(2:8:3)	man	 REL	LEM:man
(2:8:4)	yaquwlu	 V	IMPF|LEM:qaAla|ROOT:qwl|3MS
(2:8:5)	'aAman~aA	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|1P
(2:8:6)	bi{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:8:7)	wabi{loyawomi	 N	LEM:yawom|ROOT:ywm|M|GEN
(2:8:8)	{lo'aAxiri	 ADJ	LEM:A^xir|ROOT:Axr|MS|GEN
(2:8:9)	wamaA	 NEG	LEM:maA|SP:kaAn
(2:8:10)	hum	 PRON	3MP
(2:8:11)	bimu&ominiyna	 N	ACT|PCPL|(IV)|LEM:mu&omin|ROOT:Amn|MP|GEN
